Категория,Артикул,Наименование,Цена,Цена по карте / Акция
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-158989,"Цемент ЦЕМ I 42,5Н, М-500, Д0, 50 кг",406,386
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-182312,"Цемент ЦЕМ II/A-Ш 32,5Б, М-400, Д20, 25 кг",174,
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-187413,"Цемент ЦЕМ I, 32,5Б, М-400, Д0, 50 кг",362,344
/Строительные материалы/Строительные смеси и грунты/Цемент,тов-205083,"Цемент ЦЕМ II/А-П 32,5Н (М-400) (50 кг)",431,410
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-007536,"Клей монтажный Knauf Perlfix, 30 кг",490,466
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-113615,"Цемент монтажный Ceresit СХ 15, 25 кг",1345,1278
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-150895,"Смесь сухая кладочная М-75, 25 кг",192,182
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-144208,"Цемент монтажный Ceresit СХ 5 ВД, 2 кг",392,372
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-163752,"Клей монтажный гипсовый для ПГП и ГКЛ Gerkules GM-175, 25 кг",320,
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-004727,"Клей гипсовый для монтажа ПГП и ГКЛ Волма Монтаж, 30 кг",377,358
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-119858,"Клей гипсовый для монтажа ПГП и ГКЛ Волма Монтаж Мороз, 30 кг",387,368
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-124807,"Цемент монтажный Ceresit СХ 5 ВД, 25 кг",2699,2564
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-166742,"Клей для газобетона, 25 кг",187,
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-160169,"Клей для пенопол., минваты и армир. слоя Bergauf Изофикс, зимний, 25 кг",649,
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-191073,"Клей для сибита Gerkules GM-15, 25 кг",199,189
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-191074,"Клей для сибита Gerkules GM-15Z, зимний, 25 кг",218,207
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-199615,Клей для газобетона Зимний (25 кг),214,203
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-191083,"Ремонтный состав Gerkules GS-22 быстротвердеющий, 5 кг",99,94
/Строительные материалы/Строительные смеси и грунты/Кладочные и монтажные растворы,тов-200241,"Клей монтажный гипсовый для ПГП и ГКЛ Gerkules GM-175Z, Зимний, 25 кг",377,358
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144805,"Смесь кладочная глино-шамотная Терракот, 20 кг",401,381
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-138534,"Огнеупорная смесь штукатурно-кладочная, 25 кг",275,261
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144806,"Смесь кладочная печная глино-шамотная Терракот, 5 кг",133,126
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144799,"Клей для печной плитки жаростойкий Терракот, 25 кг",622,591
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144801,"Штукатурка жаростойкая глино-шамотная Терракот, 25 кг",555,527
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144802,"Штукатурка жаростойкая глино-шамотная Терракот, 5 кг",157,149
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-150821,"Затирка жаростойкая Терракот широкошовная, белая, 5 кг",402,382
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-144800,"Клей для печной плитки жаростойкий Терракот, 5 кг",175,166
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168089,"Мастика жаростойкая клеящая ТЕРРАКОТ, 5 кг",312,296
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168087,"Мастика жаростойкая клеящая ТЕРРАКОТ, 1,5 кг",108,103
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168088,"Мастика жаростойкая клеящая ТЕРРАКОТ, 2,5 кг",163,155
/Строительные материалы/Строительные смеси и грунты/Печные растворы,тов-168092,"Смесь ремонтная, жаростойкая Терракот, 5 кг",174,165
