Название,Артикул,Категория,Цена без карты,Цена с картой
Вентилятор BORGE Подкровельный Viotto черепаха для МЧ,17162001,Строительные материалы,1 514.15 ₽,1 438.44 ₽
Лента вентиляционная ПВХ 10х500 см,18824701,Строительные материалы,554.63 ₽,526.90 ₽
Проходка BORGE Кровельная D6-50мм прямая №1,17162301,Строительные материалы,329.33 ₽,312.86 ₽
Вентиляционная труба ОНДУВИЛЛА,19190801,Строительные материалы,4 099.00 ₽,3 894.05 ₽
Выход вентиляционный ТЕХНОНИКОЛЬ Изолированный d125/160мм,19190601,Строительные материалы,3 799.00 ₽,3 609.05 ₽
Вентиль кровельный ТЕХНОНИКОЛЬ Skat Monterrey,19190701,Строительные материалы,2 399.00 ₽,2 279.05 ₽
Аэратор ТЕХНОНИКОЛЬ Pilot скатный,17575301,Строительные материалы,3 008.00 ₽,2 857.60 ₽
Вентиль ТЕХНОНИКОЛЬ Skat кровельный,17575501,Строительные материалы,2 396.00 ₽,2 276.20 ₽
Выход вентиляционный ТЕХНОНИКОЛЬ d110мм,19190501,Строительные материалы,2 199.00 ₽,2 089.05 ₽
Аэратор ТЕХНОНИКОЛЬ КТВ,17575401,Строительные материалы,1 529.00 ₽,1 452.55 ₽
Проходной элемент ТЕХНОНИКОЛЬ Shinglas,17575701,Строительные материалы,1 172.00 ₽,1 113.40 ₽
Элемент проходной ТЕХНОНИКОЛЬ Skat кровельный,17575601,Строительные материалы,1 172.00 ₽,1 113.40 ₽
Колпак ТЕХНОНИКОЛЬ D160,19191701,Строительные материалы,1 199.00 ₽,1 139.05 ₽
Элемент проходной ТЕХНОНИКОЛЬ Skat Monterrey,19193901,Строительные материалы,1 149.00 ₽,1 091.55 ₽
Колпак ТЕХНОНИКОЛЬ D110,19191601,Строительные материалы,619.00 ₽,588.05 ₽
Труба BORGE Вентиляционная Viotto D-110мм для МЧ,17162701,Строительные материалы,2 815.55 ₽,2 674.77 ₽
Адаптер для аэратора КТВ ТЕХНОНИКОЛЬ,19190401,Строительные материалы,379.00 ₽,360.05 ₽
Труба BORGE Вентиляционная Viotto D-110мм для ГЧ,17162601,Строительные материалы,2 815.55 ₽,2 674.77 ₽
Проходка BORGE Кровельная D152-279мм прямая №7,17162201,Строительные материалы,1 330.43 ₽,1 263.91 ₽
Вентилятор BORGE Подкровельный Viotto черепаха для ГЧ,17161901,Строительные материалы,1 514.15 ₽,1 438.44 ₽
Проходка BORGE Кровельная D76-178мм прямая №4,17162101,Строительные материалы,844.58 ₽,802.35 ₽
Проходка BORGE Кровельная D75-200мм угловая №1,17162401,Строительные материалы,1 429.72 ₽,1 358.23 ₽
Аэратор коньковый ТЕХНОНИКОЛЬ черный,23027801,Строительные материалы,365.00 ₽,346.75 ₽
Конёк торцевой ОНДУВИЛЛА Фиорентино,19192601,Строительные материалы,435.00 ₽,413.25 ₽
Конёк ОНДУВИЛЛА Зелёный,19191901,Строительные материалы,385.00 ₽,365.75 ₽
Конёк ОНДУВИЛЛА Коричневый,19192001,Строительные материалы,372.30 ₽,353.68 ₽
Конёк ондулин красный,17406701,Строительные материалы,369.24 ₽,350.78 ₽
Конёк торцевой ОНДУВИЛЛА Красный,19192501,Строительные материалы,365.00 ₽,346.75 ₽
Конёк торцевой ОНДУВИЛЛА Коричневый,19192401,Строительные материалы,365.00 ₽,346.75 ₽
Щипец ОНДУВИЛЛА Красный,19197001,Строительные материалы,365.00 ₽,346.75 ₽
Конёк ОНДУВИЛЛА Красный,19192101,Строительные материалы,365.00 ₽,346.75 ₽
Конёк ондулин коричневый,14036301,Строительные материалы,361.08 ₽,343.03 ₽
Щипец ОНДУВИЛЛА Коричневый,19196901,Строительные материалы,365.00 ₽,346.75 ₽
Ендова ONDULINE зеленая,8579601,Строительные материалы,346.00 ₽,328.70 ₽
Элемент щипцовый ONDULINE зеленый,8580901,Строительные материалы,336.00 ₽,319.20 ₽
Ендова ONDULINE коричневая,8579701,Строительные материалы,333.00 ₽,316.35 ₽
Элемент щипцовый ONDULINE коричневый,8581001,Строительные материалы,319.00 ₽,303.05 ₽
Ендова ONDULINE красная,8579801,Строительные материалы,312.12 ₽,296.51 ₽
Гвозди кровельные ONDULINE Красные 100шт,13692801,Строительные материалы,197.88 ₽,187.99 ₽
Элемент щипцовый ONDULINE красный,8581101,Строительные материалы,317.00 ₽,301.15 ₽
Гвозди кровельные ONDULINE Зелёные 100шт,13693001,Строительные материалы,175.44 ₽,166.67 ₽
Гвозди кровельные ONDULINE Чёрные 100шт,13754901,Строительные материалы,184.00 ₽,174.80 ₽
